"ComplexID","Complex_Name","NUS","NQS","Coverage","Subunits","GO_terms","PubMed.ID","FC C2/C1","FC C3/C1","FC C4/C1","FC C5/C1","FC C6/C1","Noise"
6713,"TBCD-ARL2-tubulin(beta) complex",3,2,66.67,"P07437, P36404, Q9BTW9","GO:0000226;GO:0046785",28126905,1.088,1.172,1.124,1.045,1.093,1
6714,"TBCE-TBCB-tubulin(alpha) complex",3,2,66.67,"Q15813, Q71U36, Q99426","GO:0000226",28126905,-1.131,-1.156,-1.413,-1.379,-1.287,0.327
6715,"TBCD-ARL2-tubulin(beta)-TBCE complex",4,3,75,"P07437, P36404, Q15813, Q9BTW9","GO:0000226",28126905,1.076,1.088,1.012,-1.052,-1.009,1
6716,"DLG5-MST1-MST2 complex",3,1,33.33,"Q13043, Q13188, Q8TDM6","GO:0030010;GO:0035330",28087714,NA,NA,NA,NA,NA,NA
6720,"FILIP1-FLNA complex",2,1,50,"P21333, Q7Z7B0","GO:0031005",23087206,NA,NA,NA,NA,NA,NA
6725,"ARP3-WHAMM complex",2,1,50,"P61158, Q8TF30","GO:0031532",23087206,NA,NA,NA,NA,NA,NA
6726,"GRASP1-GRIP1 complex",2,1,50,"Q4V328, Q9Y3R0","GO:0005088",10896157,NA,NA,NA,NA,NA,NA
6729,"IQGAP1-CXCR2 complex",2,1,50,"P25025, P46940","GO:0070098",21876773,NA,NA,NA,NA,NA,NA
6730,"14-3-3 gamma-CXCR2 complex, unstimulated",2,1,50,"P25025, P61981","None",21876773,NA,NA,NA,NA,NA,NA
6731,"VASP-CXCR2 complex, CXCL8 stimulated",2,1,50,"P25025, P50552","GO:0030036",21876773,NA,NA,NA,NA,NA,NA
6736,"PRAME-Cullin2 ubiquitin ligase complex",2,1,50,"P78395, Q13617","GO:0005634;GO:0003682;GO:0016567",21822215,NA,NA,NA,NA,NA,NA
6737,"H2A-H2B-TDIF2-PCNA complex",4,1,25,"P12004, Q16777, Q16778, Q5QJE6","GO:0006338;GO:0005634;GO:0003677",12786946,NA,NA,NA,NA,NA,NA
6738,"PRAME-ElonginBC ubiquitin ligase",3,2,66.67,"P78395, Q15369, Q15370","GO:0003682;GO:0005634;GO:0016567",21822215,-1.087,-1.133,-1.272,-1.241,-1.281,0.099
6742,"SMG1-UPF2-Y14-MAGOH-UPF3B-EIF4A3 complex",6,3,50,"P38919, P61326, Q96Q15, Q9BZI7, Q9HAU5, Q9Y5S9","GO:0000184",16452507,-1.009,1.115,1.07,-1.039,-1.145,0.749
6753,"SOG complex",8,3,37.5,"P55735, Q12980, Q5T011, Q6PJI9, Q8WTW4, Q96EE3, Q96S15, Q9NXC5","GO:0032418;GO:1904262",28199315,1.288,-7.233,1.078,-7.291,-7.473,0.999
6756,"RasGAP-AURKB-survivin complex",3,1,33.33,"O15392, P20936, Q96GD4","GO:0007186;GO:0000278;GO:0051726",11976319,NA,NA,NA,NA,NA,NA
6765,"CCR4-NOT complex",8,5,62.5,"A5YKK6, O75175, Q92600, Q9H9A5, Q9NZN8, Q9UIV1, Q9UKZ1, Q9ULM6","GO:0030014;GO:0043928;GO:0003723;GO:0006355;GO:0000289;GO:0000288",23232451,1.501,-1.063,-1.126,1.189,1.126,0.365
6770,"TBX20-TLE3 repressor complex",2,1,50,"Q04726, Q9UMR3","GO:0007507;GO:0045892",24024827,NA,NA,NA,NA,NA,NA
6771,"TBX20-HDAC2 repressor complex",2,1,50,"Q92769, Q9UMR3","GO:0045892",24024827,NA,NA,NA,NA,NA,NA
6777,"SCRIB-NOS1AP-VANGL1 complex",3,1,33.33,"O75052, Q14160, Q8TAA9","GO:0007163;GO:0016477;GO:0030027",22179838,NA,NA,NA,NA,NA,NA
6778,"SCRIB-GIT1-ARHGEF7-PAK1 complex",4,4,100,"Q13153, Q14155, Q14160, Q9Y2X7","GO:0007163;GO:0016477",22179838,1.026,1.263,1.104,1.451,1.393,0.527
6779,"SCRIB-GIT1-ARHGEF7-PAK1 complex",4,4,100,"Q13153, Q14155, Q14160, Q9Y2X7","GO:0016477;GO:0031252;GO:0007163",18716323,1.026,1.263,1.104,1.451,1.393,0.527
6780,"RAD6A-KCMF1-UBR4 complex",3,1,33.33,"P49459, Q5T4S7, Q9P0J7","GO:1905146",25582440,NA,NA,NA,NA,NA,NA
6782,"mitochondrial permeability  transition pore (PTP) complex (PPIF-SPG7-VDAC1)",3,2,66.67,"P21796, P30405, Q9UQ90","GO:0051882;GO:0005743;GO:0005741",26387735,1.01,1.049,1.082,-16.607,-17.321,1
6783,"CLIC5A-EZR-PODXL complex",3,2,66.67,"O00592, P15311, Q9NZA1","GO:0098846;GO:0031532",20335315,1.001,-1.572,-2.022,-2.548,-2.559,0.136
6784,"SCHIP1-EZR-NHERF2 complex",3,2,66.67,"P0DPB3, P15311, Q15599","GO:0098846;GO:0031532",25807495,-1.06,-1.077,-1.223,-1.441,-1.608,0.256
